CME_ID,Timestamp,Angular_Width,Speed,halo?
0145,2024/08/28 04:12,136.0,644.0,II
0128,2024/08/24 18:48,116.0,259.0,II
0121,2024/08/22 15:37,112.0,291.0,II
0118,2024/08/22 08:36,288.0,1644.0,IV
0117,2024/08/22 06:48,98.0,414.0,II
0101,2024/08/20 11:48,110.0,469.0,II
0094,2024/08/19 22:12,90.0,395.0,
0064,2024/08/14 07:00,118.0,323.0,II
0038,2024/08/09 21:48,114.0,490.0,II
0035,2024/08/08 19:48,152.0,413.0,II
0032,2024/08/07 19:24,102.0,296.0,II
0023,2024/08/05 15:48,90.0,339.0,
0022,2024/08/05 13:48,166.0,894.0,II
0007,2024/08/02 04:28,140.0,710.0,II
0112,2024/09/29 08:24,118.0,473.0,II
0104,2024/09/26 13:25,324.0,322.0,IV
0080,2024/09/18 12:36,90.0,614.0,
0074,2024/09/14 16:48,210.0,624.0,III
0072,2024/09/14 15:36,92.0,946.0,II
0064,2024/09/13 10:24,90.0,459.0,
0062,2024/09/13 04:17,360.0,1683.0,IV
0046,2024/09/10 07:24,92.0,188.0,II
0042,2024/09/10 00:24,140.0,520.0,II
0039,2024/09/09 03:12,340.0,1302.0,IV
0038,2024/09/09 02:48,360.0,1077.0,IV
0035,2024/09/08 00:36,90.0,338.0,
0023,2024/09/05 07:36,114.0,925.0,II
0019,2024/09/05 06:36,102.0,791.0,II
0010,2024/09/03 08:12,168.0,744.0,II
0001,2024/09/01 11:24,110.0,603.0,II
0108,2024/10/26 06:48,350.0,1041.0,IV
0095,2024/10/24 03:48,222.0,844.0,III
0069,2024/10/16 23:48,104.0,318.0,II
0047,2024/10/07 22:12,166.0,446.0,II
0013,2024/10/03 13:37,104.0,461.0,II
0012,2024/10/03 12:36,186.0,325.0,III
0011,2024/10/03 12:24,94.0,512.0,II
0004,2024/10/01 22:36,100.0,357.0,II
0157,2024/11/29 18:12,104.0,1488.0,II
0136,2024/11/25 20:12,100.0,484.0,II
0115,2024/11/21 19:00,292.0,1179.0,IV
0112,2024/11/21 12:24,130.0,679.0,II
0097,2024/11/18 17:00,100.0,325.0,II
0077,2024/11/16 09:36,92.0,415.0,II
0069,2024/11/14 20:12,104.0,281.0,II
0059,2024/11/12 14:48,228.0,1644.0,III
0058,2024/11/12 13:36,118.0,619.0,II
0044,2024/11/10 10:12,126.0,204.0,II
0013,2024/11/04 01:36,108.0,1208.0,II
0190,2024/12/29 06:12,118.0,735.0,II
0176,2024/12/27 04:28,122.0,925.0,II
0157,2024/12/25 08:00,92.0,595.0,II
0126,2024/12/22 03:48,140.0,388.0,II
0119,2024/12/21 20:00,228.0,781.0,III
0118,2024/12/21 18:12,94.0,269.0,II
0076,2024/12/15 14:36,212.0,726.0,III
0068,2024/12/15 00:00,144.0,314.0,II
0052,2024/12/11 21:24,168.0,480.0,II
0031,2024/12/07 20:36,92.0,267.0,II
0169,2025/01/31 14:24,112.0,294.0,II
0164,2025/01/30 16:00,134.0,301.0,II
0118,2025/01/24 12:12,108.0,428.0,II
0101,2025/01/22 08:36,130.0,367.0,II
0095,2025/01/21 09:24,144.0,452.0,II
0037,2025/01/07 23:12,108.0,744.0,II
0020,2025/01/04 18:36,118.0,1097.0,II
0001,2025/01/01 02:00,92.0,516.0,II
0141,2025/02/28 17:12,146.0,1157.0,II
0119,2025/02/24 21:12,338.0,1454.0,IV
0094,2025/02/21 09:24,102.0,504.0,II
0077,2025/02/19 19:12,100.0,844.0,II
0065,2025/02/15 14:48,108.0,1644.0,II
0060,2025/02/14 21:48,102.0,338.0,II
0035,2025/02/06 13:36,300.0,1842.0,IV
0023,2025/02/05 02:00,96.0,440.0,II
0009,2025/02/02 21:00,200.0,437.0,III
0005,2025/02/02 05:24,190.0,679.0,III
0140,2025/03/28 15:24,360.0,1644.0,IV
0100,2025/03/22 16:24,128.0,868.0,II
0080,2025/03/19 08:12,152.0,1349.0,II
0077,2025/03/19 05:12,126.0,264.0,II
0057,2025/03/15 05:12,92.0,905.0,II
0006,2025/03/02 10:00,94.0,437.0,II
0113,2025/04/20 21:48,96.0,242.0,II
0104,2025/04/19 00:00,98.0,512.0,II
0076,2025/04/13 07:00,228.0,416.0,III
0075,2025/04/12 23:36,94.0,258.0,II
0018,2025/04/05 04:24,166.0,325.0,II
0153,2025/05/30 23:48,230.0,822.0,III
0148,2025/05/30 07:12,132.0,197.0,II
0098,2025/05/18 23:36,94.0,212.0,II
0080,2025/05/14 08:12,122.0,664.0,II
0077,2025/05/14 06:24,118.0,466.0,II
0066,2025/05/13 15:00,108.0,256.0,II
0060,2025/05/12 23:24,138.0,306.0,II
0021,2025/05/21 16:12,310.0,1953.0,IV
0151,2025/06/29 16:12,152.0,214.0,II
0093,2025/06/18 05:00,130.0,411.0,II
0083,2025/06/17 00:48,132.0,332.0,II
0076,2025/06/16 03:36,300.0,727.0,IV
0075,2025/06/15 19:24,282.0,1838.0,IV
0070,2025/06/15 06:36,118.0,405.0,II
0044,2025/06/11 23:24,114.0,126.0,II
0043,2025/06/11 21:36,100.0,762.0,II
0018,2025/06/08 11:36,124.0,315.0,II
0017,2025/06/08 08:00,236.0,801.0,III
0007,2025/06/03 07:48,96.0,181.0,II
