Feature,Mean,Median,75th Percentile,90th Percentile,Max
Proton_Density,5.376,3.859,5.946,11.527,36.887
Proton_Density_MA,5.376,3.852,5.921,11.522,31.459
Proton_Density_SpikeAboveMA,-0.0,-0.0,0.101,0.262,13.191
Proton_Density_Diff,0.0,0.001,0.145,0.385,20.793
Proton_Speed,380.859,380.811,399.139,460.185,555.288
Proton_Speed_MA,380.859,380.855,398.999,460.109,548.898
Proton_Speed_SpikeAboveMA,-0.0,0.0,0.856,2.218,41.518
Proton_Speed_Diff,0.001,-0.023,1.376,3.478,67.279
Proton_Temperature,47.049,44.669,56.253,67.004,120.134
Proton_Temperature_MA,47.049,44.701,56.241,66.92,118.685
Proton_Temperature_SpikeAboveMA,-0.0,-0.023,0.546,1.339,29.044
Proton_Temperature_Diff,0.0,0.001,0.864,2.056,69.191
Alpha_Density,0.159,0.083,0.177,0.367,1.682
Alpha_Density_MA,0.159,0.083,0.176,0.367,1.52
Alpha_Density_SpikeAboveMA,0.0,-0.0,0.004,0.011,0.447
Alpha_Density_Diff,0.0,0.0,0.006,0.016,0.605
Alpha_Speed,379.751,381.336,397.677,455.021,559.404
Alpha_Speed_MA,379.751,381.396,397.261,455.179,555.369
Alpha_Speed_SpikeAboveMA,-0.0,0.024,1.015,2.528,86.808
Alpha_Speed_Diff,0.001,0.005,1.517,3.799,148.671
Alpha_Temperature,45.948,45.998,56.442,72.187,159.368
Alpha_Temperature_MA,45.948,46.55,56.942,71.312,126.841
Alpha_Temperature_SpikeAboveMA,-0.0,-0.088,1.252,4.157,67.81
Alpha_Temperature_Diff,0.0,-0.001,2.117,6.426,112.966
Velocity_Magnitude,382.662,382.497,401.516,460.737,557.776
Velocity_Magnitude_MA,382.662,382.477,401.361,460.684,551.738
Velocity_Magnitude_SpikeAboveMA,-0.0,-0.005,0.879,2.251,38.538
Velocity_Magnitude_Diff,0.001,-0.019,1.416,3.53,69.634
He_H_Ratio,0.028,0.022,0.034,0.054,0.382
He_H_Ratio_MA,0.028,0.022,0.034,0.054,0.373
He_H_Ratio_SpikeAboveMA,0.0,-0.0,0.001,0.002,0.149
He_H_Ratio_Diff,-0.0,-0.0,0.001,0.004,0.19
