CME_ID,CME_Datetime,CME_Speed,CME_Angular_Width,ICME_Start,Shock_Arrival,CME_Launch_RC,RC_Speed,Transit_Time(days)
145,2024-08-28 04:12:00,644.0,136.0,2024-08-31 17:00:00,2024-08-31 12:00:00,,,3
128,2024-08-24 18:48:00,259.0,116.0,2024-08-27 16:00:00,2024-08-27 08:41:00,2024-08-23 02:00:00,400.0,2
64,2024-08-14 07:00:00,323.0,118.0,2024-08-17 17:00:00,2024-08-17 14:23:00,2024-08-14 08:24:00,530.0,3
38,2024-08-09 21:48:00,490.0,114.0,2024-08-11 12:00:00,2024-08-10 12:50:00,,,1
35,2024-08-08 19:48:00,413.0,152.0,2024-08-11 12:00:00,2024-08-10 12:50:00,,,2
32,2024-08-07 19:24:00,296.0,102.0,2024-08-11 12:00:00,2024-08-10 12:50:00,,,3
10,2024-09-03 08:12:00,744.0,168.0,2024-09-04 14:00:00,2024-09-04 10:32:00,,,1
1,2024-09-01 11:24:00,603.0,110.0,2024-09-03 02:00:00,2024-09-02 18:00:00,,,1
1,2024-09-01 11:24:00,603.0,110.0,2024-09-04 14:00:00,2024-09-04 10:32:00,,,3
47,2024-10-07 22:12:00,446.0,166.0,2024-10-10 22:00:00,2024-10-10 15:14:00,,,2
47,2024-10-07 22:12:00,446.0,166.0,2024-10-12 12:00:00,2024-10-12 09:00:00,,,4
13,2024-10-03 13:37:00,461.0,104.0,2024-10-06 14:00:00,2024-10-06 07:39:00,2024-10-03 12:48:00,620.0,3
13,2024-10-03 13:37:00,461.0,104.0,2024-10-08 00:00:00,2024-10-08 00:00:00,,,4
12,2024-10-03 12:36:00,325.0,186.0,2024-10-06 14:00:00,2024-10-06 07:39:00,2024-10-03 12:48:00,620.0,3
12,2024-10-03 12:36:00,325.0,186.0,2024-10-08 00:00:00,2024-10-08 00:00:00,,,4
11,2024-10-03 12:24:00,512.0,94.0,2024-10-06 14:00:00,2024-10-06 07:39:00,2024-10-03 12:48:00,620.0,3
11,2024-10-03 12:24:00,512.0,94.0,2024-10-08 00:00:00,2024-10-08 00:00:00,,,4
4,2024-10-01 22:36:00,357.0,100.0,2024-10-06 14:00:00,2024-10-06 07:39:00,2024-10-03 12:48:00,620.0,4
136,2024-11-25 20:12:00,484.0,100.0,2024-11-29 17:00:00,2024-11-29 03:05:00,,,3
190,2024-12-29 06:12:00,735.0,118.0,2025-01-01 10:00:00,2024-12-31 16:23:00,,,3
190,2024-12-29 06:12:00,735.0,118.0,2025-01-02 12:00:00,2025-01-02 05:00:00,,,4
76,2024-12-15 14:36:00,726.0,212.0,2024-12-17 08:00:00,2024-12-17 05:17:00,,,1
68,2024-12-15 00:00:00,314.0,144.0,2024-12-17 08:00:00,2024-12-17 05:17:00,,,2
1,2025-01-01 02:00:00,516.0,92.0,2025-01-02 12:00:00,2025-01-02 05:00:00,,,1
